Month,Month.adj,Month_num,Lake,FishID,Mass,Length,JOIN_ID,Fibrosis,Sex,Schisto_Free,Schisto_cyst,wormbiomass_fishmass,Total_Worms,ln_wormweight,total_worm_wt,Season,max_worm_wt
JUL,JUL.23,1,FRE,27,0.93,40.13,FRE_84_A,1,M,2,0,0.06279569892473119,2,0.05675833381860888,0.05840000000000001,Summer,0.0459
JUL,JUL.23,1,FRE,28,1,44.22,FRE_85_A,0,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,29,1.14,46.14,FRE_86_A,1,F,2,0,0.059298245614035086,2,0.06541313854823212,0.0676,Summer,0.0648
JUL,JUL.23,1,FRE,30,0.88,40.33,FRE_87_A,1,M,2,0,0.12443181818181819,2,0.10390946339051149,0.1095,Summer,0.0693
JUL,JUL.23,1,FRE,31,0.75,41.43,FRE_88_A,1,M,2,0,0.0041333333333333335,2,0.0030952049073025216,0.0031,Summer,0.0025
JUL,JUL.23,1,FRE,32,0.95,42.55,FRE_89_A,1,M,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,33,1,45.07,FRE_90_A,0,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,34,0.68,40.44,FRE_91_A,1,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,35,0.69,41.84,FRE_92_A,1,M,4,0,0.004347826086956522,4,0.002995508979798371,0.0029999999999999996,Summer,9e-4
JUL,JUL.23,1,FRE,36,1.1,48.09,FRE_93_A,0,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,37,1,44.85,FRE_94_A,1,M,1,1,0.002,2,0.001998002662673058,0.002,Summer,0.002
JUL,JUL.23,1,FRE,38,1.62,51.87,FRE_95_A,0,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,39,1.25,48.3,FRE_96_A,0,M,2,0,0.0012799999999999999,2,0.0015987213636970735,0.0015999999999999999,Summer,0.0012
JUL,JUL.23,1,FRE,40,1,44.5,FRE_97_A,2,F,7,0,0.07799999999999999,7,0.07510747248680548,0.07799999999999999,Summer,0.0209
JUL,JUL.23,1,FRE,41,1.08,43.57,FRE_98_A,0.5,M,2,0,0.1412037037037037,2,0.1419334958886666,0.1525,Summer,0.0926
JUL,JUL.23,1,FRE,42,1.38,48.03,FRE_99_A,0,F,1,0,0.051231884057971015,1,0.06831264018208728,0.0707,Summer,0.0707
JUL,JUL.23,1,FRE,43,0.81,42.57,FRE_100_A,1,F,1,0,0.09987654320987653,1,0.07779402744002016,0.0809,Summer,0.0809
JUL,JUL.23,1,FRE,44,1.24,46.86,FRE_101_A,0.5,F,4,0,0.15903225806451612,4,0.17998549699640684,0.1972,Summer,0.0793
JUL,JUL.23,1,FRE,45,0.96,43.49,FRE_102_A,0,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,46,0.91,42.5,FRE_103_A,1,M,1,0,0.04571428571428571,1,0.040757992472167826,0.0416,Summer,0.0416
JUL,JUL.23,1,FRE,47,0.81,41.7,FRE_104_A,0,F,1,0,0.08641975308641976,1,0.06765864847381486,0.07,Summer,0.07
JUL,JUL.23,1,FRE,48,1.77,52.71,FRE_105_A,0.5,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,49,0.87,41.68,FRE_106_A,1,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,50,0.98,44.96,FRE_107_A,1,F,4,0,0.0019387755102040817,4,0.0018981972830802655,0.0019,Summer,0.0014
